agentId,model,prompt_cell
a123b82856b910955,claude-opus-4-6,A
a178174486a1934c1,claude-opus-4-6,A
a1c8b43fccc2d0da4,claude-opus-4-6,B-notools
a1e8682006d8ad485,claude-opus-4-6,A
a357ea2b06cc470f2,claude-sonnet-4-6,A
a35efed213d15b304,claude-sonnet-4-6,B-notools
a4350b84ea16eb504,claude-sonnet-4-6,A
a4cd6f3f417336b19,claude-sonnet-4-6,B-notools
a8fd9b8f662938a26,claude-sonnet-4-6,B-tools
a9b8ddc3135215e72,claude-sonnet-4-6,B-tools
aa59570ccb00ba523,claude-opus-4-6,B-tools
aab1260a79fcea13f,claude-sonnet-4-6,B-notools
ab15882e9be829de0,claude-opus-4-6,B-tools
abbc2545edf65cdb5,claude-opus-4-6,B-notools
abbc9be755be5e4fa,claude-sonnet-4-6,B-tools
ac1fa14a1024bdde7,claude-sonnet-4-6,A
adc3af32be849f1ab,claude-opus-4-6,B-tools
aef8fe8924da47867,claude-opus-4-6,B-notools
